Project Gutenberg Kids Books,Languages,,,,,,,,,,,,,,,
https://www.gutenberg.org/wiki/Children%27s_Literature_(Bookshelf),da,de,el,en,eo,es,fi,fr,hu,it,la,nl,pt,sv,tl,zh
,,44258,39224,,,10255,52936,12105,,48542,27655,22473,20725,,,27059
,,53459,31405,,,23617,37885,15739,,17837,29495,29320,25844,,,23855
,,24212,33709,,,53718,28343,33840,,47295,30104,53933,42762,,,25696
,,47713,40478,,,48944,48958,48368,,48400,14970,17121,28310,,,23844
,,3210,31853,,,51627,54192,33882,,19886,43686,51138,32794,,,25173
,,55487,31631,,,53798,46929,45058,,11497,8400,18425,29417,,,7454
,,18258,35789,,,58261,20020,41101,,27608,21827,14666,13093,,,54784
,,21527,37162,,,41106,52504,22394,,10275,46768,16725,25934,,,23841
,,37991,40150,,,57781,58936,38712,,37931,43686,49554,31190,,,26871
,,40185,33395,,,39444,54559,43748,,35914,7402,10971,12579,,,52278
,,31963,34972,,,31464,47503,34264,,14370,46456,26387,31657,,,27107
,,7207,39524,,,54386,58631,10061,,37935,7402,29369,21433,,,27026
,,56475,36845,,,15353,10941,48529,,46773,27672,57698,25148,,,23844
,,9335,39085,,,31724,55788,54421,,27640,39355,27657,19013,,,23841
,,48570,31852,,,29831,52536,57420,,47051,38503,34391,30946,,,23824
,,22391,28061,,,52837,53365,30977,,46163,14945,29960,24338,,,25246
,,35030,27073,,,57505,18710,5178,,45901,29645,46719,18528,,,24032
,,51474,31797,,,26756,52852,22011,,29082,19072,32306,20940,,,26877
,,49044,27389,,,36546,48308,40750,,49733,56312,32218,23620,,,7260
,,57741,40296,,,26947,43532,42212,,25211,23294,27124,27276,,,7327
,,36813,35604,,,46196,20884,14082,,46835,26570,28086,31696,,,27581
,,28219,26731,,,26771,18476,46469,,46724,,35250,30176,,,7468
,,48639,27592,,,41106,40568,58211,,49062,,16117,24344,,,23854
,,13690,34896,,,57035,26927,8907,,26717,,15974,21911,,,25417
,,40231,34880,,,57654,48308,45947,,44364,,38449,34718,,,25314
,,10507,29015,,,53436,53923,42590,,45223,,30467,24462,,,25168
,,47861,39462,,,28002,41841,40496,,45227,,44047,22508,,,23873
,,7512,36129,,,31637,55600,17736,,35405,,19306,31971,,,25253
,,40543,39409,,,57388,26096,15686,,22507,,55477,22870,,,24156
,,31204,31438,,,51020,39756,37678,,19888,,14143,27236,,,54820
,,7933,30616,,,5878,38651,46065,,43024,,22555,25437,,,24111
,,54573,31433,,,41337,49430,53749,,45226,,20875,25593,,,23938
,,48902,32215,,,24917,51471,14115,,17858,,18406,24401,,,27332
,,34696,39963,,,52857,45358,58254,,32599,,45874,22801,,,54494
,,31216,31797,,,15781,46612,11176,,25176,,6959,30920,,,24139
,,55914,37098,,,30892,51529,26376,,46101,,18339,24847,,,25602
,,40304,35280,,,29137,49984,43652,,47566,,47812,30510,,,7457
,,25530,33561,,,37747,46980,17830,,43176,,34643,25845,,,24733
,,58365,39536,,,46201,52871,57419,,25197,,19591,32871,,,26876
,,54071,32666,,,29706,48321,13383,,10156,,58313,52170,,,24028
,,52605,40329,,,39647,45161,17879,,44169,,37828,28399,,,7349
,,7233,42700,,,44120,57841,43712,,48267,,44157,29968,,,27399
,,52985,31436,,,23035,17846,32952,,43356,,35887,21950,,,12408
,,57065,27896,,,12627,43978,15790,,40326,,53476,25945,,,54670
,,54837,36944,,,57264,51124,30553,,28371,,31182,23110,,,24316
,,50912,42510,,,38836,57717,43980,,46898,,14181,29999,,,57248
,,44272,37629,,,47650,16075,46628,,42347,,23298,21011,,,25124
